date,duration,title,content,link
2021-07-23,00:02:11,国内联播快讯,"新修订的《生猪屠宰管理条例》8月1日起施行
国新办今天（7月23日）举行国务院政策例行吹风会，农业农村部及司法部有关负责人介绍修订后的《生猪屠宰管理条例》有关情况。修订后的《条例》重点从强化生猪屠宰全过程管理、强化疫病防控、强化责任落实三个方面作出规定，对生猪屠宰实行最严格的监管。修订后的《条例》自2021年8月1日起施行。
国家航天局发布“祝融号”火星车行驶路线图
今天（7月23日），国家航天局发布了“祝融号”火星车最新行驶路线图以及火星沙丘高清影像。可以看出，“祝融号”从着陆点一直在向南部古海陆交界方向行驶轨迹以及由风成、风积作用形成的沙丘地貌图像。目前，“祝融号”火星车已在火星表面累计行驶585米。
海南环岛天然气管网全线建成投运
今天（7月23日），全长289公里的海南省环岛天然气管网东环线文昌—琼海—三亚输气管道通气投运，与已投产运营的海南省西部管网正式连接，实现了海气、陆气、液化天然气等多气源进入同一张管网，结束了海南省东部沿海地区没有管输天然气的历史。
总台与天津市签署战略合作框架协议
今天（7月23日），中央广播电视总台与天津市人民政府在天津举行战略合作框架协议签约仪式。双方将在世界智能大会举办、大数据应用、大文化产业开发运营、全民健身等方面开展多层次、全方位的深度合作，推进重点项目在天津落地见效。
特别节目《走进乡村看小康》明天播出第五期
央视新闻频道明天（7月24日）上午10时播出《走进乡村看小康》大型直播特别节目第五期《绿色农业促发展》。多路记者将走进陕西、辽宁、山西、河北、江苏等地，带大家领略绿色农业助力乡村振兴的故事。节目将对生态循环农业、休闲观光农业等进行深入观察，展现新时代美丽乡村新画卷。",https://tv.cctv.com/2021/07/23/VIDEjuL52w3nMlhhUouJeCtQ210723.shtml
2022-05-23,00:01:37,国内联播快讯,"全国村“两委”换届工作全面完成
记者从有关部门获悉，自2020年10月开始的全国村“两委”换届工作目前已经全部完成，49.1万个村班子完成新老更替。这是村“两委”任期由3年改为5年、31个省区市和新疆生产建设兵团集中进行、与县乡换届同步开展的首次换届。
中国人民银行在香港成功发行250亿元人民币央行票据
今天（5月23日），中国人民银行在香港成功发行250亿元人民币央行票据，其中3个月期100亿元，中标利率2.49%，1年期150亿元，中标利率2.80%。多个国家和地区的机构投资者以及国际金融组织踊跃认购，投标总量接近580亿元，表明人民币资产对境外投资者有较强吸引力。
跨越五省特高压输电大通道全线检修
四川雅中送江西南昌特高压输电通道日前开始全线检修，检修人员用13天时间，对跨越五省的1711公里输电线路逐一排查、消除隐患，确保电力可靠供应。
大型文化节目《从延安出发》今晚播出
中央广播电视总台联合16家文艺院团、院校、演出机构推出的大型文化节目《从延安出发》今晚（5月23日）在央视综艺频道开播。节目立足于延安文艺座谈会召开后涌现出的精品力作，以表演的形式串起80年来中国文艺的发展脉络，展示新时代文艺取得的卓越成果。",https://tv.cctv.com/2022/05/23/VIDEWSBpYy0EznYaw3NOrY5Y220523.shtml
2022-05-24,00:01:57,国内联播快讯,"五部门出台规定 加强教材工作责任管理
教育部、国家新闻出版署等五部门近日联合印发《关于教材工作责任追究的指导意见》，针对大中小学教材编写、审核、出版、印制发行、选用使用等各环节存在的主要责任问题，明确追责情形和处理方式。
高考考生今起进入连续14天健康监测
全国高考将于6月7日—8日举行。根据教育部、国家卫生健康委关于高考防疫工作的有关要求，考生要严格遵守考点所在地考试防疫要求，今天（5月24日）起进入连续14天健康监测，减少不必要的聚集和跨区域流动、不到人群流动性较大场所、不前往中高风险等级地区。
我国全球重要农业文化遗产数量居世界首位
联合国粮农组织近日认定我国福建安溪铁观音茶文化系统、内蒙古阿鲁科尔沁草原游牧系统和河北涉县旱作石堰梯田系统为全球重要农业文化遗产。至此，我国全球重要农业文化遗产增至18项，数量居世界首位。
中缅新通道国际铁路班列新线首发通车
中缅新通道国际铁路班列开通新线路，首趟列车昨天（5月23日）从重庆发出，列车经由云南临沧口岸出境，最终抵达缅甸曼德勒。中缅新通道将实现与中欧班列、渝满俄班列、长江黄金水道的全面对接，重庆“一带一路”和长江经济带联结点的作用将得到进一步增强。
南玉铁路首座双线最大跨度T构转体桥成功转体
今天（5月24日），南玉铁路首座双线最大跨度T构转体桥完成转体，为全线如期通车奠定了基础。南玉铁路正线全长193.31公里，建成通车后，广西南宁至玉林的行车时间将由现在的大约两个小时缩短至50分钟左右。",https://tv.cctv.com/2022/05/24/VIDEYqqKQRuflQIKYjs07iKO220524.shtml
2022-05-25,00:01:59,国内联播快讯,"1—4月我国物流总额超106万亿元
中国物流与采购联合会今天（5月25日）公布，1—4月，全国社会物流总额106.2万亿元，同比增长3.6%。4月份，能源、大宗商品保供领域增长保持稳定，对物流需求形成有力支撑。运输结构进一步调整，大宗物资、长距离运输“公转铁、公转水”情况明显增多，多式联运相关业务占比稳步提升。
国资委出台举措推动央企助力中小企业纾困解难
国务院国资委近日出台27条举措，从支付账款、减免房租、降低成本、优化供给、融通资金、商用货车消费贷款延期等方面推动中央企业助力中小企业纾困解难。
《2021年交通运输行业发展统计公报》今日发布
今天（5月25日），交通运输部发布《2021年交通运输行业发展统计公报》。2021年我国完成交通固定资产投资3.6万亿元，比2020年增长4.1%。去年我国高铁营业里程达到4万公里，高速公路里程16.9万公里，全国港口万吨级及以上泊位2659个。定期航班通航机场、通航城市分别提高至248个和244个。 
1—4月轻工主要行业投资保持两位数增长
中国轻工业联合会今天（5月25日）发布数据显示，今年1—4月，轻工主要行业投资稳中提速，投资规模继续扩大，增速均保持两位数增长，其中，农副食品加工、食品制造、酒饮料等6个行业投资增速超过20%。
电视剧《三泉溪暖》今晚播出
电视剧《三泉溪暖》今晚（5月25日）起在总台央视综合频道播出。该剧以三涧溪村党支部建设为创作原型，讲述了基层党组织和党员干部带领广大村民建设富裕、文明、美丽乡村的故事，展现全面建成小康社会、实施乡村振兴战略取得的重要成就。",https://tv.cctv.com/2022/05/25/VIDE5jBOAvHX18LEl4QgdMom220525.shtml
2022-05-26,00:03:42,国内联播快讯,"《2021中国生态环境状况公报》今天发布
《2021中国生态环境状况公报》今天（5月26日）发布，2021年全国339个地级及以上城市平均空气质量优良天数比例为87.5%；PM2.5平均浓度为每立方米30微克，同比下降9.1%。全国地表水水质优良断面比例为84.9%，同比上升1.5个百分点。
2022年中国国际大数据产业博览会开幕
2022年中国国际大数据产业博览会今天（5月26日）在贵州贵阳开幕，今年的主题是“抢数字新机 享数字价值”。大会围绕东数西算、数据市场培育、数据完全、工业互联网赋能、元宇宙等多个议题开展线上论坛。同时，在博览会发布环节，多家企业、创客等将向全球发布关于元宇宙应用场景、工业物联网、东数西算等多个方面的最前沿科研以及应用成果。
阶段性实施国内客运航班运行财政补贴
财政部、民航局下发通知，从2022年5月21日至2022年7月20日对国内运输航空公司经营的国内客运航班实施阶段性财政补贴。设定最高亏损额补贴标准上限为每小时2.4万元，补贴资金由中央和地方财政共同承担。
市场监管总局出台新标准限制商品过度包装
市场监管总局发布《限制商品过度包装要求 食品和化妆品》国家标准第1号修改单，修订后的新标准对粽子、月饼等31类食品和化妆品包装层数、包装空隙率和包装成本进一步从严要求，为限制食品化妆品过度包装划定质量底线。
金砖国家航天合作联委会成立
金砖国家航天合作联委会昨天（5月25日）成立，并以视频方式举行了第一次会议，宣布正式开启金砖国家遥感卫星星座联合观测及数据共享合作。金砖国家遥感卫星星座由金砖国家现有的6颗卫星组成，每个国家设有地面接收站。
中国（郑州）重要国际邮件枢纽口岸业务今天开通
中国（郑州）重要国际邮件枢纽口岸业务今天（5月26日）开通，郑州成为继北京、上海、广州之后的第四个全国重要国际邮件枢纽口岸。目前，郑州国际邮件枢纽口岸已开通39个国家地区50个城市的总包直封关系，缩短了国际邮件传递时限，节约了跨境电商交易的成本。
鄱阳湖东岸昌江圩提质升级土方工程完工
今天（5月26日），我国最大淡水湖鄱阳湖东岸的昌江圩提质升级土方工程完工。工程竣工后，昌江圩防洪标准从5年一遇提升至50年一遇，将全面提高鄱阳县防御洪水的能力，保障县城30多万群众生命财产安全。
宁夏至布达佩斯中欧国际货运班列今天首发
宁夏至布达佩斯中欧国际货运班列今天（5月26日）首发，班列从宁夏银川南站始发，由新疆阿拉山口口岸出境，途经哈萨克斯坦、俄罗斯、白俄罗斯、波兰等地，全程8500公里，预计21天后到达匈牙利布达佩斯。
“远望3号”出航执行第100次任务
今天（5月26日）上午，远望3号船驶离码头奔赴任务海域执行海上测控任务，这是远望3号船今年的首航，也是该船第100次执行海上测控任务。二十多年来，远望3号圆满完成了神舟、嫦娥、北斗等海上测控任务，测控成功率达百分之百。
总台“不负韶华 国聘行动”人力资源服务产业园专场启动
由中央广播电视总台联合教育部、科技部、人力资源社会保障部等部门共同主办的“不负韶华 国聘行动”启动人力资源服务产业园专场。“国聘行动”至今已连续举办三季，累计提供职位超过300万个，收到求职简历超过950万份。",https://tv.cctv.com/2022/05/26/VIDEm0R6uIEgdavSr4ryUJGm220526.shtml
2022-05-27,00:03:05,国内联播快讯,"1—4月全国规模以上工业企业利润同比增长3.5%
国家统计局今天（5月27日）发布数据显示，受国内部分地区疫情散发多发影响，1—4月份，全国规模以上工业企业利润同比增长3.5%。采矿业及部分原材料行业利润较快增长，基本消费品行业利润平稳增长。
4月我国国际货物和服务贸易进出口实现顺差2670亿元
国家外汇管理局最新数据显示，4月，我国国际货物和服务贸易进出口规模为34427亿元，与去年同期基本持平；实现顺差2670亿元，同比增长21%，保持稳健。
今年全国技工院校计划招生140万人以上
人力资源社会保障部印发通知，指导各地人力资源社会保障部门和技工院校进一步落实招生政策，稳定招生规模；引导技工院校紧密结合经济社会发展需要合理设置招生专业。今年全国技工院校计划招生140万人以上。
拉萨等4个综保区通过验收 海关特殊监管区全国覆盖
西藏拉萨、湖北襄阳、重庆万州、陕西杨凌4个综合保税区今天（5月27日）通过国家验收，其中拉萨综保区的设立填补了西藏没有海关特殊监管区的空白，实现了海关特殊监管区的全国覆盖。截至目前，全国31个省（自治区、直辖市）设立海关特殊监管区域168个，综合保税区156个。
华北地区河湖生态环境复苏行动启动
水利部今天（5月27日）开始实施2022年夏季华北地区生态环境复苏行动，到6月底将向京津冀部分河湖补水7.21亿立方米，预计贯通河长约3264公里，同时开展沿线地下水超采综合治理。
我国首个工业用途核能供汽工程开工建设
今天（5月27日），我国首个工业用途核能供汽工程——中核集团田湾核电蒸汽供能项目在江苏连云港开工建设，该项目利用核电机组产生热量，将经过淡化的海水加热，转化为清洁稳定高效的工业蒸汽。项目建成后，每年可提供工业蒸汽480万吨。
甬莞高速实现全线贯通
今天（5月27日），浙江温州瓯江北口大桥建成通车，标志着连接浙江、福建、广东三省的甬莞高速实现全线贯通。甬莞高速北起浙江宁波，南至广东东莞，它的贯通对于提高东部沿海公路运输大通道通行能力、推动长三角一体化发展、助力粤闽浙沿海城市群建设等具有重要意义。 
特别节目《走进老区看新貌》明天播出四川篇
特别节目《走进老区看新貌》明天（5月28日）上午10:00到11:00在央视新闻频道播出四川篇。川陕革命老区主要覆盖四川巴中、达州、广元、南充等地区。节目将带您走进大巴山腹地，生动展现党的十八大以来，四川革命老区广大干部群众奋力谱写新时代振兴发展壮美篇章的生动故事。",https://tv.cctv.com/2022/05/27/VIDE7zWrCfr6qqzJbqwR6sYJ220527.shtml
2022-05-28,00:02:44,国内联播快讯,"全年造林计划任务已完成57%以上
记者从国家林草局了解到，截至目前，全国完成造林2985万亩，占全年计划任务的57.6%。目前，全国人工造林基本全部使用乡土树种，主要造林树种良种使用率提高到65%。今年国家在山东、河南、宁夏等7省区开展了科学绿化试点示范省份建设，实行春季国土绿化周报制，督促各地抢抓时机，加快造林进度。
2022年国家助学贷款免息及本金延期偿还
财政部、教育部、人民银行、银保监会日前印发通知，明确为帮扶经济困难家庭毕业生减负和就业，对2022年及以前年度毕业的贷款学生2022年内应偿还的国家助学贷款利息予以免除，免息资金由财政承担；本金可延期1年偿还。
全面加强夏粮收购监督 保护农民利益
国家粮食和物资储备局今天（5月28日）发布，今年夏粮收购期间将严肃查处未按规定告知、公示粮食收购价格或者收购粮食压级压价等价格违法行为，以及未按规定备案、建立经营台账、未按规定进行质量安全检验等违法违规行为，切实保护种粮农民利益。
粤港澳大湾区建成清洁能源比重最高世界级湾区电网
今天（5月28日），广东梅州、阳江两座百万千瓦级抽水蓄能电站投产发电。至此，粤港澳大湾区电网抽水蓄能总装机达到近1000万千瓦，相当于近两个海南省的供电能力，清洁能源电量占比接近50%，成为抽水蓄能装机容量最大、电网调节能力最强、清洁能源消纳比重最高的世界级湾区电网。
甘肃单日风电发电量2.27亿千瓦时 创历史新高
近日，甘肃电网全天风电发电量达到2.27亿千瓦时，创历史最高水平。截至4月底，甘肃新能源并网装机容量突破3000万千瓦，达到3122.28万千瓦，占全省总装机容量的48.95%。
特别节目《走进老区看新貌》明天播出山东篇
特别节目《走进老区看新貌》明天（5月29日）上午10:00到11:00在央视新闻频道播出山东篇。沂蒙革命老区覆盖山东18个县（市、区）。节目带您走进齐鲁大地，生动展现党的十八大以来，山东革命老区人民牢记习近平总书记殷切嘱托，改革创新、锐意进取，奋力谱写新时代振兴发展之路的壮美篇章。",https://tv.cctv.com/2022/05/28/VIDE2Rqw0xPTwLCiFTkuar63220528.shtml
2022-05-29,00:02:06,国内联播快讯,"三部门今年起开展大豆两类保险试点
财政部、农业农村部、银保监会日前联合发布通知，从今年起至2024年，在内蒙古4个旗县和黑龙江6个县开展大豆完全成本保险和种植收入保险试点。中央财政、地方财政分别承担保费的45%和35%，投保农户自缴20%，两类保险的保障水平最高可达大豆种植收入的80%。
粤港澳大湾区枢纽数据中心集群启动建设
今天（5月29日），全国一体化算力网络粤港澳大湾区国家枢纽数据中心集群在韶关启动建设。预计到2025年，该集群将建成50万标准机架规模，为推动大湾区城市内数据中心建设、提升算力服务水平、加快全国网络互联互通提供有力保障。
武汉地铁12号线环线穿越长江隧道开工建设
今天（5月29日），武汉地铁12号线环线穿越长江隧道开工建设。武汉地铁12号环线全长59.9公里，将两次穿越长江、一次穿越汉江，同时还将下穿两个湖泊，连通武汉三镇，串联了武汉7个行政区域。
南方大范围降雨过程仍将持续
南方昨天（5月28日）开始出现大范围的降雨过程，江西、广西等地部分地区出现大到暴雨。受持续强降雨影响，江西部分河流水位上涨，农田被淹；广西部分地区出现内涝、人员被困，当地迅速组织人员及时转移群众，排查隐患。预计未来一周，南方还将维持多雨的状态。水利部针对浙江、安徽、福建、江西等多省近期汛情启动水旱灾害防御Ⅳ级应急响应。 
总台《小喇叭》广播推出新节目陪小朋友过“六一”
中央广播电视总台《小喇叭》广播栏目将从今晚（5月29日）开始推出《红色故事我来讲》《声音里的大世界》等五档全新节目，每晚8时在中央广播电视总台央广中国之声播出，陪伴少年儿童度过一个健康、快乐的“六一”儿童节。",https://tv.cctv.com/2022/05/29/VIDEAExSInyBiDDtxS5pzg3b220529.shtml
2022-05-30,00:02:46,国内联播快讯,"我国妇女儿童健康水平显著提升
最新数据显示，我国妇幼健康核心指标已位于全球中高收入国家前列，被世界卫生组织评定为“全球十个妇幼健康高绩效国家之一”。截至2020年，农村妇女开展免费宫颈癌筛查1.3亿人次，免费乳腺癌筛查6400万人次。近年来，孕产妇系统管理率、儿童健康管理率保持在90%以上。
我国已有五款HPV疫苗获批
国家卫生健康委今天（5月30日）表示，目前我国已有五款HPV疫苗获批注册，包含三款进口疫苗和两款国产疫苗。目前可应用的HPV疫苗包括二价疫苗、四价疫苗和九价疫苗，使用范围为9—45岁的女性。其中，二价疫苗就可以预防70%以上的宫颈癌。
白鹤滩水电站百万千瓦机组投产过半
今天（5月30日），白鹤滩水电站5号机组顺利通过72小时试运行，正式投产发电。至此，白鹤滩水电站16台百万千瓦水轮发电机组已投产过半，累计生产清洁电能超过265亿千瓦时。
我国首座潮光互补型电站并网发电
今天（5月30日），我国首座光伏与潮汐能综合利用的新型电站国家能源集团浙江温岭潮光互补智能电站实现全容量并网发电。电站总装机容量100兆瓦，年发电量可超1亿度，标志着我国在海洋能源综合利用领域取得新成效。
雄安新区起步区西北围堤开工建设
今天（5月30日），雄安新区起步区西北围堤正式开工建设，这是国家今年重点推进的55项重大水利工程之一。工程全长23.45公里，投资17.6亿元，是雄安新区起步区防洪圈建设的最后一项控制性工程，预计在6月底前建成。
成自宜高铁白云山隧道贯通
今天（5月30日），成都至自贡、宜宾的成自宜高铁控制性工程白云山隧道贯通，隧道长13.34公里。成自宜高铁全长约266公里，是国家“八纵八横”高速铁路网京昆通道的组成部分。
第二十三届中国（寿光）国际蔬菜科技博览会闭幕
今天（5月30日），为期40天的第二十三届中国（寿光）国际蔬菜科技博览会在山东寿光闭幕。本届博览会以“绿色·科技·未来”为主题，通过“线下布展，线上办会”的方式集中展示了2000多个名优蔬菜品种、80多种先进栽培模式等。
“看见美丽中国”全国短视频大赛获奖名单今天揭晓
今天（5月30日），“看见美丽中国”全国短视频大赛在浙江湖州落下帷幕。大赛以“你我向上，国家向前”为主题，用生动鲜活的影像展现了全民凝心聚力、推动生态文明发展、建设美丽中国等内容。经过评审，24部作品获奖。",https://tv.cctv.com/2022/05/30/VIDExwtziwUxoLF9JtCHffjp220530.shtml
2022-05-31,00:02:48,国内联播快讯,"2022年全国“安全生产月”活动在京启动
国务院安委办、应急管理部今天（5月31日）在京举行全国“安全生产月”活动启动仪式。今年6月是第21个全国“安全生产月”，主题为“遵守安全生产法，当好第一责任人”，通过开展安全生产“公开课”“进门入户送安全”等活动，广泛传播安全知识，推动树牢安全发展理念。
前4个月我国服务进出口总额同比增长21.9%
商务部今天（5月31日）公布的数据显示，今年1—4月，我国服务进出口总额19074.9亿元，同比增长21.9%。其中服务出口增长25.1%，进口增长19.1%，服务出口增幅大于进口6个百分点。
明起减征部分乘用车车辆购置税
财政部、税务总局今天（5月31日）发布公告，为促进汽车消费，支持汽车产业发展，对购置日期在2022年6月1日至12月31日期间内且不含增值税的单车价格不超过30万元的2.0升及以下排量乘用车，减半征收车辆购置税。
2022新能源汽车下乡活动启动
今天（5月31日），工业和信息化部等四部门启动2022新能源汽车下乡活动，活动时间持续至今年12月，鼓励参加下乡活动的新能源汽车行业相关企业通过网上促销等方式吸引消费者购买。
国家移民局出台一批促进企业生产经营新举措
国家移民管理局近日出台举措，助力稳住经济大盘，包括提高国际货运船舶、航班及所搭乘船员、机组人员通关效率，优先验放跨境运输医疗防疫和民生保障等重点物资车辆，便利商务人员办证办事等。
AG600全状态新构型灭火机首飞成功
今天（5月31日），我国自主研制的大型水陆两栖飞机“鲲龙”AG600全状态新构型灭火机在广东珠海首飞成功。这是我国第二架投入试飞的AG600飞机。此次首飞的AG600，最大起飞重量60吨，最大载水量12吨。
四川宜宾临港长江大桥合龙
今天（5月31日），四川宜宾临港长江大桥正式合龙。大桥全长1742.1米，设计为中间4线时速300公里的高速铁路，两侧为双向6车道城市快速路。建成通车后，将连接蓉昆、渝昆高铁，进一步推动成渝地区双城经济圈建设。
铁路客票预售期调整为15天
国铁集团消息，6月1日起，全国铁路客票预售期调整为15天（含当天）。根据客流回暖趋势，铁路部门精准实施“一日一图”，在严格落实疫情防控措施的基础上，动态灵活安排运力。",https://tv.cctv.com/2022/05/31/VIDEMq3vUjluCdDKndGPYxRr220531.shtml
